Year,Units,Display,Time series,Region,GeoCode,Value
2015,Number,Time series,EMAS organisations,Berlin,code11,26.0
2016,Number,Time series,EMAS organisations,Berlin,code11,30.0
2017,Number,Time series,EMAS organisations,Berlin,code11,32.0
2018,Number,Time series,EMAS organisations,Berlin,code11,30.0
2019,Number,Time series,EMAS organisations,Berlin,code11,30.0
2020,Number,Time series,EMAS organisations,Berlin,code11,28.0
2005,Number,Time series,EMAS organisations,Brandenburg,code12,42.0
2006,Number,Time series,EMAS organisations,Brandenburg,code12,38.0
2007,Number,Time series,EMAS organisations,Brandenburg,code12,34.0
2008,Number,Time series,EMAS organisations,Brandenburg,code12,33.0
2009,Number,Time series,EMAS organisations,Brandenburg,code12,34.0
2010,Number,Time series,EMAS organisations,Brandenburg,code12,38.0
2011,Number,Time series,EMAS organisations,Brandenburg,code12,30.0
2012,Number,Time series,EMAS organisations,Brandenburg,code12,26.0
2013,Number,Time series,EMAS organisations,Brandenburg,code12,30.0
2014,Number,Time series,EMAS organisations,Brandenburg,code12,29.0
2015,Number,Time series,EMAS organisations,Brandenburg,code12,27.0
2016,Number,Time series,EMAS organisations,Brandenburg,code12,30.0
2017,Number,Time series,EMAS organisations,Brandenburg,code12,36.0
2018,Number,Time series,EMAS organisations,Brandenburg,code12,37.0
2019,Number,Time series,EMAS organisations,Brandenburg,code12,35.0
2020,Number,Time series,EMAS organisations,Brandenburg,code12,34.0
2005,Number,Time series,EMAS organisations,Bremen,code04,20.0
2006,Number,Time series,EMAS organisations,Bremen,code04,20.0
2007,Number,Time series,EMAS organisations,Bremen,code04,19.0
2008,Number,Time series,EMAS organisations,Bremen,code04,24.0
2009,Number,Time series,EMAS organisations,Bremen,code04,24.0
2010,Number,Time series,EMAS organisations,Bremen,code04,21.0
2011,Number,Time series,EMAS organisations,Bremen,code04,20.0
2012,Number,Time series,EMAS organisations,Bremen,code04,17.0
2013,Number,Time series,EMAS organisations,Bremen,code04,16.0
2014,Number,Time series,EMAS organisations,Bremen,code04,14.0
2015,Number,Time series,EMAS organisations,Bremen,code04,12.0
2016,Number,Time series,EMAS organisations,Bremen,code04,11.0
2017,Number,Time series,EMAS organisations,Bremen,code04,12.0
2018,Number,Time series,EMAS organisations,Bremen,code04,11.0
2019,Number,Time series,EMAS organisations,Bremen,code04,11.0
2020,Number,Time series,EMAS organisations,Bremen,code04,10.0
2005,Number,Time series,EMAS organisations,Hamburg,code02,20.0
2006,Number,Time series,EMAS organisations,Hamburg,code02,20.0
2007,Number,Time series,EMAS organisations,Hamburg,code02,21.0
2008,Number,Time series,EMAS organisations,Hamburg,code02,14.0
2009,Number,Time series,EMAS organisations,Hamburg,code02,13.0
2010,Number,Time series,EMAS organisations,Hamburg,code02,12.0
2011,Number,Time series,EMAS organisations,Hamburg,code02,12.0
2012,Number,Time series,EMAS organisations,Hamburg,code02,10.0
2013,Number,Time series,EMAS organisations,Hamburg,code02,9.0
2014,Number,Time series,EMAS organisations,Hamburg,code02,11.0
2015,Number,Time series,EMAS organisations,Hamburg,code02,11.0
2016,Number,Time series,EMAS organisations,Hamburg,code02,10.0
2017,Number,Time series,EMAS organisations,Hamburg,code02,12.0
2018,Number,Time series,EMAS organisations,Hamburg,code02,14.0
2019,Number,Time series,EMAS organisations,Hamburg,code02,14.0
2020,Number,Time series,EMAS organisations,Hamburg,code02,14.0
2005,Number,Time series,EMAS organisations,Hesse,code06,103.0
2006,Number,Time series,EMAS organisations,Hesse,code06,102.0
2007,Number,Time series,EMAS organisations,Hesse,code06,98.0
2008,Number,Time series,EMAS organisations,Hesse,code06,69.0
2009,Number,Time series,EMAS organisations,Hesse,code06,67.0
2010,Number,Time series,EMAS organisations,Hesse,code06,73.0
2011,Number,Time series,EMAS organisations,Hesse,code06,74.0
2012,Number,Time series,EMAS organisations,Hesse,code06,72.0
2013,Number,Time series,EMAS organisations,Hesse,code06,70.0
2014,Number,Time series,EMAS organisations,Hesse,code06,73.0
2015,Number,Time series,EMAS organisations,Hesse,code06,76.0
2016,Number,Time series,EMAS organisations,Hesse,code06,80.0
2017,Number,Time series,EMAS organisations,Hesse,code06,78.0
2018,Number,Time series,EMAS organisations,Hesse,code06,71.0
2019,Number,Time series,EMAS organisations,Hesse,code06,63.0
2020,Number,Time series,EMAS organisations,Hesse,code06,63.0
2005,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,24.0
2006,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,25.0
2007,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,24.0
2008,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,23.0
2009,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,16.0
2010,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,8.0
2011,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,8.0
2012,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2013,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2014,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2015,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,5.0
2016,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,6.0
2017,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,5.0
2018,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,4.0
2019,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,2.0
2020,Number,Time series,EMAS organisations,Mecklenburg Western Pomerania,code13,2.0
2005,Number,Time series,EMAS organisations,Lower Saxony,code03,56.0
2006,Number,Time series,EMAS organisations,Lower Saxony,code03,58.0
2007,Number,Time series,EMAS organisations,Lower Saxony,code03,61.0
2008,Number,Time series,EMAS organisations,Lower Saxony,code03,61.0
2009,Number,Time series,EMAS organisations,Lower Saxony,code03,67.0
2010,Number,Time series,EMAS organisations,Lower Saxony,code03,72.0
2011,Number,Time series,EMAS organisations,Lower Saxony,code03,76.0
2012,Number,Time series,EMAS organisations,Lower Saxony,code03,62.0
2013,Number,Time series,EMAS organisations,Lower Saxony,code03,64.0
2014,Number,Time series,EMAS organisations,Lower Saxony,code03,60.0
2015,Number,Time series,EMAS organisations,Lower Saxony,code03,56.0
2016,Number,Time series,EMAS organisations,Lower Saxony,code03,55.0
2017,Number,Time series,EMAS organisations,Lower Saxony,code03,59.0
2018,Number,Time series,EMAS organisations,Lower Saxony,code03,55.0
2019,Number,Time series,EMAS organisations,Lower Saxony,code03,54.0
2020,Number,Time series,EMAS organisations,Lower Saxony,code03,51.0
2005,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,164.0
2006,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,156.0
2007,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,168.0
2008,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,164.0
2009,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,157.0
2010,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,140.0
2011,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,131.0
2012,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,121.0
2013,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,118.0
2014,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,113.0
2015,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,114.0
2016,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,117.0
2017,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,115.0
2018,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,111.0
2019,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,105.0
2020,Number,Time series,EMAS organisations,North Rhine-Westphalia,code05,100.0
2005,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,53.0
2006,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,49.0
2007,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,49.0
2008,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,44.0
2009,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,46.0
2010,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,44.0
2011,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,37.0
2012,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,35.0
2013,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,36.0
2014,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,37.0
2015,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,31.0
2016,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,33.0
2017,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,33.0
2018,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,34.0
2019,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,34.0
2020,Number,Time series,EMAS organisations,Rhineland Palatinate,code07,24.0
2005,Number,Time series,EMAS organisations,Saarland,code10,49.0
2006,Number,Time series,EMAS organisations,Saarland,code10,47.0
2007,Number,Time series,EMAS organisations,Saarland,code10,50.0
2008,Number,Time series,EMAS organisations,Saarland,code10,52.0
2009,Number,Time series,EMAS organisations,Saarland,code10,51.0
2010,Number,Time series,EMAS organisations,Saarland,code10,49.0
2011,Number,Time series,EMAS organisations,Saarland,code10,44.0
2012,Number,Time series,EMAS organisations,Saarland,code10,43.0
2013,Number,Time series,EMAS organisations,Saarland,code10,44.0
2014,Number,Time series,EMAS organisations,Saarland,code10,51.0
2015,Number,Time series,EMAS organisations,Saarland,code10,50.0
2016,Number,Time series,EMAS organisations,Saarland,code10,51.0
2017,Number,Time series,EMAS organisations,Saarland,code10,53.0
2018,Number,Time series,EMAS organisations,Saarland,code10,48.0
2019,Number,Time series,EMAS organisations,Saarland,code10,49.0
2020,Number,Time series,EMAS organisations,Saarland,code10,49.0
