Year,Units,Anzeigen,Zeitreihe,Value
2000,2030 = 100,Zeitreihe,c) Teilindex Agrarland,71.7
2001,2030 = 100,Zeitreihe,c) Teilindex Agrarland,68.6
2002,2030 = 100,Zeitreihe,c) Teilindex Agrarland,68.8
2003,2030 = 100,Zeitreihe,c) Teilindex Agrarland,67.8
2004,2030 = 100,Zeitreihe,c) Teilindex Agrarland,70.7
2005,2030 = 100,Zeitreihe,c) Teilindex Agrarland,68.0
2006,2030 = 100,Zeitreihe,c) Teilindex Agrarland,68.0
2007,2030 = 100,Zeitreihe,c) Teilindex Agrarland,68.0
2008,2030 = 100,Zeitreihe,c) Teilindex Agrarland,65.8
2009,2030 = 100,Zeitreihe,c) Teilindex Agrarland,64.7
2010,2030 = 100,Zeitreihe,c) Teilindex Agrarland,62.4
2011,2030 = 100,Zeitreihe,c) Teilindex Agrarland,57.6
2012,2030 = 100,Zeitreihe,c) Teilindex Agrarland,62.0
2013,2030 = 100,Zeitreihe,c) Teilindex Agrarland,57.6
2014,2030 = 100,Zeitreihe,c) Teilindex Agrarland,57.0
2015,2030 = 100,Zeitreihe,c) Teilindex Agrarland,58.0
2016,2030 = 100,Zeitreihe,c) Teilindex Agrarland,60.5
1970,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,82.7
1975,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,80.3
1990,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,64.1
1991,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,55.8
1992,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,57.3
1993,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,63.7
1994,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,68.5
1995,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,67.5
1996,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,58.2
1997,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,58.6
1998,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,61.5
1999,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,67.2
2000,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,67.4
2001,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,73.7
2002,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,67.0
2003,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,66.7
2004,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,72.0
2005,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,69.0
2006,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,63.1
2007,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,72.9
2008,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,77.0
2009,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,70.6
2010,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,68.2
2011,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,69.5
2012,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,72.1
2013,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,73.0
2014,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,73.6
2015,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,74.0
2016,2030 = 100,Zeitreihe,d) Teilindex Binnengewässer,75.0
1970,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,77.3
1975,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,81.1
1990,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,79.7
1991,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,72.3
1992,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,79.0
1993,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,79.4
1994,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,85.8
1995,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,85.4
1996,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,74.3
1997,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,76.4
1998,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,80.5
1999,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,76.9
2000,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,76.8
2001,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,80.9
2002,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,71.8
2003,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,68.1
2004,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,63.5
2005,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,63.6
2006,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,63.2
2007,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,65.6
2008,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,55.1
2009,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,59.4
2010,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,62.2
2011,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,62.5
2012,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,56.2
2013,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,56.6
2014,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,56.6
2015,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,59.0
2016,2030 = 100,Zeitreihe,e) Teilindex Küsten/Meere,58.0
