Year,Value,Units,Series,GeoCode
1996,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,17.506,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,20.534,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,22.733,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,22.866,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,26.225,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,32.454,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,39.451,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,47.122,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,46.773,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,44.997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,38.764,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,31.641,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,30.256,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,25.224,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,22.976,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,21.636,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,17.773,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,11.733,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,12.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,10.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,9.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,9.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,9.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,9.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,8.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,8.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,7.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,6.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,6.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,5.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,5.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,5.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,5.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,27.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,28.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,18.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
