Year,Value,Units,Series
1994.0,106.3,Kilogramm pro Hektar,Berechnete jährliche Werte
1995.0,113.2,Kilogramm pro Hektar,Berechnete jährliche Werte
1996.0,107.7,Kilogramm pro Hektar,Berechnete jährliche Werte
1997.0,104.0,Kilogramm pro Hektar,Berechnete jährliche Werte
1998.0,107.8,Kilogramm pro Hektar,Berechnete jährliche Werte
1999.0,111.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2000.0,115.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2001.0,101.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2002.0,105.8,Kilogramm pro Hektar,Berechnete jährliche Werte
2003.0,105.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2004.0,97.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2005.0,102.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2006.0,105.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2007.0,100.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2008.0,103.2,Kilogramm pro Hektar,Berechnete jährliche Werte
2009.0,83.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2010.0,90.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2011.0,106.2,Kilogramm pro Hektar,Berechnete jährliche Werte
2012.0,91.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2013.0,93.6,Kilogramm pro Hektar,Berechnete jährliche Werte
2014.0,84.8,Kilogramm pro Hektar,Berechnete jährliche Werte
2015.0,102.1,Kilogramm pro Hektar,Berechnete jährliche Werte
2016.0,98.5,Kilogramm pro Hektar,Berechnete jährliche Werte
2017.0,90.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2018.0,87.9,Kilogramm pro Hektar,Berechnete jährliche Werte
2019.0,78.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2020.0,79.7,Kilogramm pro Hektar,Berechnete jährliche Werte
1990.0,141.5,Kilogramm pro Hektar,Berechnete jährliche Werte
1991.0,117.1,Kilogramm pro Hektar,Berechnete jährliche Werte
1992.0,111.9,Kilogramm pro Hektar,Berechnete jährliche Werte
1993.0,106.3,Kilogramm pro Hektar,Berechnete jährliche Werte
1994.0,106.3,Kilogramm pro Hektar,Berechnete jährliche Werte
1995.0,113.2,Kilogramm pro Hektar,Berechnete jährliche Werte
1996.0,107.7,Kilogramm pro Hektar,Berechnete jährliche Werte
1997.0,104.0,Kilogramm pro Hektar,Berechnete jährliche Werte
1998.0,107.8,Kilogramm pro Hektar,Berechnete jährliche Werte
1999.0,111.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2000.0,115.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2001.0,101.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2002.0,105.8,Kilogramm pro Hektar,Berechnete jährliche Werte
2003.0,105.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2004.0,97.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2005.0,102.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2006.0,105.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2007.0,100.4,Kilogramm pro Hektar,Berechnete jährliche Werte
2008.0,103.2,Kilogramm pro Hektar,Berechnete jährliche Werte
2009.0,83.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2010.0,90.3,Kilogramm pro Hektar,Berechnete jährliche Werte
2011.0,106.2,Kilogramm pro Hektar,Berechnete jährliche Werte
2012.0,91.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2013.0,93.6,Kilogramm pro Hektar,Berechnete jährliche Werte
2014.0,84.8,Kilogramm pro Hektar,Berechnete jährliche Werte
2015.0,102.1,Kilogramm pro Hektar,Berechnete jährliche Werte
2016.0,98.5,Kilogramm pro Hektar,Berechnete jährliche Werte
2017.0,90.0,Kilogramm pro Hektar,Berechnete jährliche Werte
2018.0,87.9,Kilogramm pro Hektar,Berechnete jährliche Werte
2019.0,78.7,Kilogramm pro Hektar,Berechnete jährliche Werte
2030.0,,Kilogramm pro Hektar,Berechnete jährliche Werte
