Year,Units,degree of urbanisation,federal state,GeoCode,Value
2011,m² per inhabitant and year,,,,-9.6
2012,m² per inhabitant and year,,,,-6.7
2013,m² per inhabitant and year,,,,-8.4
2014,m² per inhabitant and year,,,,-7.9
2015,m² per inhabitant and year,,,,-7.3
2016,m² per inhabitant and year,,,,-7.1
2017,m² per inhabitant and year,,,,-3.1
2018,m² per inhabitant and year,,,,-2.5
2019,m² per inhabitant and year,,,,-2.0
2020,m² per inhabitant and year,,,,-3.8
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,1.4
2010,m² per inhabitant and year,,,,0.2
2011,m² per inhabitant and year,,,,0.0
2012,m² per inhabitant and year,,,,-0.8
2013,m² per inhabitant and year,,,,-1.4
2014,m² per inhabitant and year,,,,-1.4
2015,m² per inhabitant and year,,,,-1.5
2016,m² per inhabitant and year,,,,-1.3
2017,m² per inhabitant and year,,,,-1.1
2018,m² per inhabitant and year,,,,-1.2
2019,m² per inhabitant and year,,,,-1.1
2020,m² per inhabitant and year,,,,-1.1
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-10.5
2010,m² per inhabitant and year,,,,-9.0
2011,m² per inhabitant and year,,,,-7.7
2012,m² per inhabitant and year,,,,-7.1
2013,m² per inhabitant and year,,,,-9.0
2014,m² per inhabitant and year,,,,-8.3
2015,m² per inhabitant and year,,,,-7.7
2016,m² per inhabitant and year,,,,-7.4
2017,m² per inhabitant and year,,,,-3.2
2018,m² per inhabitant and year,,,,-2.7
2019,m² per inhabitant and year,,,,-2.1
2020,m² per inhabitant and year,,,,-4.0
2004,m² per inhabitant and year,,,,-0.8
2005,m² per inhabitant and year,,,,-0.8
2006,m² per inhabitant and year,,,,-0.8
2007,m² per inhabitant and year,,,,-1.1
2008,m² per inhabitant and year,,,,-1.1
2009,m² per inhabitant and year,,,,-0.8
2010,m² per inhabitant and year,,,,-1.1
2011,m² per inhabitant and year,,,,-0.8
2012,m² per inhabitant and year,,,,-1.5
2013,m² per inhabitant and year,,,,-1.5
2014,m² per inhabitant and year,,,,-1.5
2015,m² per inhabitant and year,,,,-1.1
2016,m² per inhabitant and year,,,,-0.7
2017,m² per inhabitant and year,,,,-0.8
2018,m² per inhabitant and year,,,,-0.3
2019,m² per inhabitant and year,,,,-0.4
2020,m² per inhabitant and year,,,,-0.2
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,
2010,m² per inhabitant and year,,,,
2011,m² per inhabitant and year,,,,
2012,m² per inhabitant and year,,,,
2013,m² per inhabitant and year,,,,
2014,m² per inhabitant and year,,,,
2015,m² per inhabitant and year,,,,
2016,m² per inhabitant and year,,,,
2017,m² per inhabitant and year,,,,
2018,m² per inhabitant and year,,,,
2019,m² per inhabitant and year,,,,
2020,m² per inhabitant and year,,,,
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,
2010,m² per inhabitant and year,,,,
2011,m² per inhabitant and year,,,,
2012,m² per inhabitant and year,,,,
2013,m² per inhabitant and year,,,,
2014,m² per inhabitant and year,,,,
2015,m² per inhabitant and year,,,,
2016,m² per inhabitant and year,,,,
2017,m² per inhabitant and year,,,,
2018,m² per inhabitant and year,,,,
2019,m² per inhabitant and year,,,,
2020,m² per inhabitant and year,,,,
2004,m² per inhabitant and year,,,,-1.6
2005,m² per inhabitant and year,,,,-2.2
2006,m² per inhabitant and year,,,,-1.9
2007,m² per inhabitant and year,,,,-1.6
2008,m² per inhabitant and year,,,,-1.0
2009,m² per inhabitant and year,,,,-0.6
2010,m² per inhabitant and year,,,,-0.4
2011,m² per inhabitant and year,,,,-0.3
2012,m² per inhabitant and year,,,,-0.4
2013,m² per inhabitant and year,,,,-0.6
2014,m² per inhabitant and year,,,,0.0
2015,m² per inhabitant and year,,,,0.4
2016,m² per inhabitant and year,,,,1.0
2017,m² per inhabitant and year,,,,1.2
2018,m² per inhabitant and year,,,,0.8
2019,m² per inhabitant and year,,,,0.4
2020,m² per inhabitant and year,,,,0.0
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,
2010,m² per inhabitant and year,,,,
2011,m² per inhabitant and year,,,,
2012,m² per inhabitant and year,,,,
2013,m² per inhabitant and year,,,,
2014,m² per inhabitant and year,,,,
2015,m² per inhabitant and year,,,,
2016,m² per inhabitant and year,,,,
2017,m² per inhabitant and year,,,,
2018,m² per inhabitant and year,,,,
2019,m² per inhabitant and year,,,,
2020,m² per inhabitant and year,,,,
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,
2010,m² per inhabitant and year,,,,
2011,m² per inhabitant and year,,,,
2012,m² per inhabitant and year,,,,
2013,m² per inhabitant and year,,,,
2014,m² per inhabitant and year,,,,
2015,m² per inhabitant and year,,,,
2016,m² per inhabitant and year,,,,
2017,m² per inhabitant and year,,,,
2018,m² per inhabitant and year,,,,
2019,m² per inhabitant and year,,,,
2020,m² per inhabitant and year,,,,
2004,m² per inhabitant and year,,,,-2.4
2005,m² per inhabitant and year,,,,-2.5
2006,m² per inhabitant and year,,,,-2.3
2007,m² per inhabitant and year,,,,-2.3
2008,m² per inhabitant and year,,,,-2.1
2009,m² per inhabitant and year,,,,-2.1
2010,m² per inhabitant and year,,,,-2.2
2011,m² per inhabitant and year,,,,-1.7
2012,m² per inhabitant and year,,,,-1.9
2013,m² per inhabitant and year,,,,-1.7
2014,m² per inhabitant and year,,,,-1.6
2015,m² per inhabitant and year,,,,-1.8
2016,m² per inhabitant and year,,,,-2.0
2017,m² per inhabitant and year,,,,-2.2
2018,m² per inhabitant and year,,,,-2.1
2019,m² per inhabitant and year,,,,-2.1
2020,m² per inhabitant and year,,,,-1.5
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-0.6
2010,m² per inhabitant and year,,,,-0.9
2011,m² per inhabitant and year,,,,-0.9
2012,m² per inhabitant and year,,,,-1.1
2013,m² per inhabitant and year,,,,-1.1
2014,m² per inhabitant and year,,,,-1.3
2015,m² per inhabitant and year,,,,-1.3
2016,m² per inhabitant and year,,,,-1.2
2017,m² per inhabitant and year,,,,-1.4
2018,m² per inhabitant and year,,,,-1.0
2019,m² per inhabitant and year,,,,-0.8
2020,m² per inhabitant and year,,,,-0.5
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-3.2
2010,m² per inhabitant and year,,,,-3.1
2011,m² per inhabitant and year,,,,-2.3
2012,m² per inhabitant and year,,,,-2.4
2013,m² per inhabitant and year,,,,-2.1
2014,m² per inhabitant and year,,,,-1.9
2015,m² per inhabitant and year,,,,-2.2
2016,m² per inhabitant and year,,,,-2.5
2017,m² per inhabitant and year,,,,-2.8
2018,m² per inhabitant and year,,,,-2.8
2019,m² per inhabitant and year,,,,-2.9
2020,m² per inhabitant and year,,,,-2.3
2004,m² per inhabitant and year,,,,-18.4
2005,m² per inhabitant and year,,,,-18.1
2006,m² per inhabitant and year,,,,-16.5
2007,m² per inhabitant and year,,,,-15.3
2008,m² per inhabitant and year,,,,-16.9
2009,m² per inhabitant and year,,,,-17.7
2010,m² per inhabitant and year,,,,-17.6
2011,m² per inhabitant and year,,,,-15.6
2012,m² per inhabitant and year,,,,-11.5
2013,m² per inhabitant and year,,,,-8.5
2014,m² per inhabitant and year,,,,-8.1
2015,m² per inhabitant and year,,,,-7.0
