Year,Units,federal state,GeoCode,county,Value
2017,1.000 eur,,,,24.493
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,13.427
2001,1.000 eur,,,,14.631
2002,1.000 eur,,,,14.618
2003,1.000 eur,,,,14.716
2004,1.000 eur,,,,14.63
2005,1.000 eur,,,,14.748
2006,1.000 eur,,,,15.451
2007,1.000 eur,,,,16.994
2008,1.000 eur,,,,17.419
2009,1.000 eur,,,,17.417
2010,1.000 eur,,,,18.031
2011,1.000 eur,,,,19.204
2012,1.000 eur,,,,20.112
2013,1.000 eur,,,,20.579
2014,1.000 eur,,,,21.47
2015,1.000 eur,,,,21.759
2016,1.000 eur,,,,22.784
2017,1.000 eur,,,,24.031
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,32.41
2001,1.000 eur,,,,32.644
2002,1.000 eur,,,,32.559
2003,1.000 eur,,,,33.466
2004,1.000 eur,,,,34.541
2005,1.000 eur,,,,34.559
2006,1.000 eur,,,,35.855
2007,1.000 eur,,,,37.242
2008,1.000 eur,,,,37.87
2009,1.000 eur,,,,36.55
2010,1.000 eur,,,,38.588
2011,1.000 eur,,,,40.939
2012,1.000 eur,,,,41.321
2013,1.000 eur,,,,41.592
2014,1.000 eur,,,,43.866
2015,1.000 eur,,,,43.036
2016,1.000 eur,,,,47.283
2017,1.000 eur,,,,49.861
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,32.788
2001,1.000 eur,,,,32.299
2002,1.000 eur,,,,32.185
2003,1.000 eur,,,,33.163
2004,1.000 eur,,,,38.406
2005,1.000 eur,,,,37.392
2006,1.000 eur,,,,38.509
2007,1.000 eur,,,,41.554
2008,1.000 eur,,,,40.983
2009,1.000 eur,,,,34.965
2010,1.000 eur,,,,41.51
2011,1.000 eur,,,,45.285
2012,1.000 eur,,,,44.645
2013,1.000 eur,,,,46.71
2014,1.000 eur,,,,48.719
2015,1.000 eur,,,,43.848
2016,1.000 eur,,,,50.876
2017,1.000 eur,,,,53.987
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,81.111
2001,1.000 eur,,,,88.181
2002,1.000 eur,,,,78.151
2003,1.000 eur,,,,81.0
2004,1.000 eur,,,,74.479
2005,1.000 eur,,,,87.462
2006,1.000 eur,,,,87.254
2007,1.000 eur,,,,94.138
2008,1.000 eur,,,,93.588
2009,1.000 eur,,,,83.088
2010,1.000 eur,,,,109.521
2011,1.000 eur,,,,124.58
2012,1.000 eur,,,,128.398
2013,1.000 eur,,,,128.892
2014,1.000 eur,,,,136.782
2015,1.000 eur,,,,115.106
2016,1.000 eur,,,,180.454
2017,1.000 eur,,,,172.437
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,13.797
2001,1.000 eur,,,,13.856
2002,1.000 eur,,,,13.982
2003,1.000 eur,,,,13.525
2004,1.000 eur,,,,14.403
2005,1.000 eur,,,,14.465
2006,1.000 eur,,,,15.282
2007,1.000 eur,,,,15.38
2008,1.000 eur,,,,15.629
2009,1.000 eur,,,,15.711
2010,1.000 eur,,,,15.76
2011,1.000 eur,,,,16.849
2012,1.000 eur,,,,17.33
2013,1.000 eur,,,,18.946
2014,1.000 eur,,,,20.179
2015,1.000 eur,,,,22.474
2016,1.000 eur,,,,21.897
2017,1.000 eur,,,,21.995
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.399
2001,1.000 eur,,,,20.315
2002,1.000 eur,,,,19.336
2003,1.000 eur,,,,19.297
2004,1.000 eur,,,,21.955
2005,1.000 eur,,,,21.093
2006,1.000 eur,,,,22.169
2007,1.000 eur,,,,22.44
2008,1.000 eur,,,,22.756
2009,1.000 eur,,,,21.467
2010,1.000 eur,,,,23.059
2011,1.000 eur,,,,24.345
2012,1.000 eur,,,,24.904
2013,1.000 eur,,,,25.15
2014,1.000 eur,,,,25.822
2015,1.000 eur,,,,26.429
2016,1.000 eur,,,,27.731
2017,1.000 eur,,,,29.475
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,15.377
2001,1.000 eur,,,,15.84
2002,1.000 eur,,,,14.61
2003,1.000 eur,,,,14.452
2004,1.000 eur,,,,14.823
2005,1.000 eur,,,,15.1
2006,1.000 eur,,,,15.078
2007,1.000 eur,,,,16.323
2008,1.000 eur,,,,17.639
2009,1.000 eur,,,,16.339
2010,1.000 eur,,,,17.443
2011,1.000 eur,,,,18.489
2012,1.000 eur,,,,18.833
2013,1.000 eur,,,,19.957
2014,1.000 eur,,,,19.858
2015,1.000 eur,,,,20.062
2016,1.000 eur,,,,20.423
2017,1.000 eur,,,,19.611
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,18.582
2001,1.000 eur,,,,19.121
2002,1.000 eur,,,,19.245
2003,1.000 eur,,,,18.367
2004,1.000 eur,,,,19.238
2005,1.000 eur,,,,19.054
2006,1.000 eur,,,,19.675
2007,1.000 eur,,,,21.016
2008,1.000 eur,,,,21.871
2009,1.000 eur,,,,21.873
2010,1.000 eur,,,,22.473
2011,1.000 eur,,,,24.101
2012,1.000 eur,,,,24.48
2013,1.000 eur,,,,25.088
2014,1.000 eur,,,,26.205
2015,1.000 eur,,,,26.789
2016,1.000 eur,,,,28.389
2017,1.000 eur,,,,29.592
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,16.003
2001,1.000 eur,,,,16.429
2002,1.000 eur,,,,16.149
2003,1.000 eur,,,,15.863
2004,1.000 eur,,,,17.31
2005,1.000 eur,,,,16.357
2006,1.000 eur,,,,17.981
2007,1.000 eur,,,,20.05
2008,1.000 eur,,,,20.976
2009,1.000 eur,,,,18.528
2010,1.000 eur,,,,18.488
2011,1.000 eur,,,,20.169
2012,1.000 eur,,,,20.476
2013,1.000 eur,,,,20.554
2014,1.000 eur,,,,21.417
2015,1.000 eur,,,,21.195
2016,1.000 eur,,,,21.451
2017,1.000 eur,,,,21.229
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,12.623
2001,1.000 eur,,,,12.859
2002,1.000 eur,,,,12.481
2003,1.000 eur,,,,12.828
2004,1.000 eur,,,,13.046
2005,1.000 eur,,,,13.089
2006,1.000 eur,,,,14.172
2007,1.000 eur,,,,15.906
2008,1.000 eur,,,,16.25
2009,1.000 eur,,,,15.193
2010,1.000 eur,,,,15.764
2011,1.000 eur,,,,16.949
2012,1.000 eur,,,,17.789
2013,1.000 eur,,,,18.872
2014,1.000 eur,,,,19.604
2015,1.000 eur,,,,19.57
2016,1.000 eur,,,,20.033
2017,1.000 eur,,,,20.418
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,23.611
2001,1.000 eur,,,,23.668
2002,1.000 eur,,,,23.96
2003,1.000 eur,,,,24.49
2004,1.000 eur,,,,25.432
2005,1.000 eur,,,,25.984
2006,1.000 eur,,,,27.446
2007,1.000 eur,,,,29.521
2008,1.000 eur,,,,29.15
2009,1.000 eur,,,,27.746
2010,1.000 eur,,,,28.887
2011,1.000 eur,,,,30.878
2012,1.000 eur,,,,31.001
2013,1.000 eur,,,,31.112
2014,1.000 eur,,,,32.317
2015,1.000 eur,,,,32.626
2016,1.000 eur,,,,33.745
2017,1.000 eur,,,,35.309
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,30.907
2001,1.000 eur,,,,31.116
2002,1.000 eur,,,,31.552
2003,1.000 eur,,,,31.879
2004,1.000 eur,,,,31.871
2005,1.000 eur,,,,34.219
2006,1.000 eur,,,,36.012
2007,1.000 eur,,,,36.51
2008,1.000 eur,,,,37.808
2009,1.000 eur,,,,36.489
2010,1.000 eur,,,,37.865
2011,1.000 eur,,,,39.944
2012,1.000 eur,,,,40.238
2013,1.000 eur,,,,39.862
2014,1.000 eur,,,,40.956
2015,1.000 eur,,,,41.307
2016,1.000 eur,,,,43.727
2017,1.000 eur,,,,44.768
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,44.293
2001,1.000 eur,,,,43.945
2002,1.000 eur,,,,43.537
2003,1.000 eur,,,,44.881
2004,1.000 eur,,,,44.841
2005,1.000 eur,,,,49.78
2006,1.000 eur,,,,51.724
2007,1.000 eur,,,,52.405
2008,1.000 eur,,,,54.354
2009,1.000 eur,,,,53.103
2010,1.000 eur,,,,54.516
2011,1.000 eur,,,,56.629
2012,1.000 eur,,,,56.331
2013,1.000 eur,,,,56.502
2014,1.000 eur,,,,57.572
2015,1.000 eur,,,,57.124
2016,1.000 eur,,,,62.585
2017,1.000 eur,,,,63.864
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,20.439
2001,1.000 eur,,,,21.02
2002,1.000 eur,,,,20.864
2003,1.000 eur,,,,20.936
2004,1.000 eur,,,,22.015
2005,1.000 eur,,,,21.574
2006,1.000 eur,,,,22.813
2007,1.000 eur,,,,23.975
2008,1.000 eur,,,,24.5
2009,1.000 eur,,,,23.024
2010,1.000 eur,,,,24.574
2011,1.000 eur,,,,26.655
2012,1.000 eur,,,,27.021
2013,1.000 eur,,,,27.681
2014,1.000 eur,,,,28.859
2015,1.000 eur,,,,28.83
2016,1.000 eur,,,,30.282
2017,1.000 eur,,,,31.388
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,23.725
2001,1.000 eur,,,,23.215
2002,1.000 eur,,,,23.697
2003,1.000 eur,,,,21.219
2004,1.000 eur,,,,22.931
2005,1.000 eur,,,,24.137
2006,1.000 eur,,,,25.594
2007,1.000 eur,,,,25.602
2008,1.000 eur,,,,28.566
2009,1.000 eur,,,,27.672
2010,1.000 eur,,,,29.337
2011,1.000 eur,,,,30.568
2012,1.000 eur,,,,30.744
2013,1.000 eur,,,,30.499
2014,1.000 eur,,,,31.676
2015,1.000 eur,,,,32.139
2016,1.000 eur,,,,33.105
2017,1.000 eur,,,,33.796
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.337
2001,1.000 eur,,,,19.397
2002,1.000 eur,,,,20.321
2003,1.000 eur,,,,20.928
2004,1.000 eur,,,,20.981
2005,1.000 eur,,,,21.033
2006,1.000 eur,,,,21.261
2007,1.000 eur,,,,21.708
2008,1.000 eur,,,,22.599
2009,1.000 eur,,,,21.757
2010,1.000 eur,,,,22.85
2011,1.000 eur,,,,24.255
2012,1.000 eur,,,,25.108
2013,1.000 eur,,,,24.922
2014,1.000 eur,,,,26.187
2015,1.000 eur,,,,26.701
2016,1.000 eur,,,,27.305
2017,1.000 eur,,,,28.213
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.985
2001,1.000 eur,,,,19.65
2002,1.000 eur,,,,20.018
2003,1.000 eur,,,,19.809
2004,1.000 eur,,,,19.407
2005,1.000 eur,,,,19.675
2006,1.000 eur,,,,20.982
2007,1.000 eur,,,,22.36
2008,1.000 eur,,,,22.773
2009,1.000 eur,,,,22.304
2010,1.000 eur,,,,25.25
2011,1.000 eur,,,,25.308
2012,1.000 eur,,,,26.1
2013,1.000 eur,,,,27.922
2014,1.000 eur,,,,27.412
2015,1.000 eur,,,,28.374
2016,1.000 eur,,,,30.788
2017,1.000 eur,,,,31.931
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,21.155
2001,1.000 eur,,,,21.523
2002,1.000 eur,,,,21.295
2003,1.000 eur,,,,19.081
2004,1.000 eur,,,,20.356
2005,1.000 eur,,,,19.928
2006,1.000 eur,,,,21.466
2007,1.000 eur,,,,22.433
2008,1.000 eur,,,,22.571
2009,1.000 eur,,,,21.902
2010,1.000 eur,,,,23.245
2011,1.000 eur,,,,24.547
2012,1.000 eur,,,,26.08
2013,1.000 eur,,,,27.874
2014,1.000 eur,,,,29.368
2015,1.000 eur,,,,30.046
2016,1.000 eur,,,,29.574
2017,1.000 eur,,,,31.0
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,17.811
2001,1.000 eur,,,,18.21
2002,1.000 eur,,,,17.495
2003,1.000 eur,,,,17.98
2004,1.000 eur,,,,17.713
2005,1.000 eur,,,,17.698
2006,1.000 eur,,,,18.678
2007,1.000 eur,,,,19.217
2008,1.000 eur,,,,18.98
2009,1.000 eur,,,,18.478
2010,1.000 eur,,,,19.566
2011,1.000 eur,,,,20.353
2012,1.000 eur,,,,21.453
2013,1.000 eur,,,,21.845
2014,1.000 eur,,,,22.851
2015,1.000 eur,,,,23.774
2016,1.000 eur,,,,24.37
2017,1.000 eur,,,,25.425
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,22.285
2001,1.000 eur,,,,21.149
2002,1.000 eur,,,,20.994
2003,1.000 eur,,,,20.106
2004,1.000 eur,,,,19.646
2005,1.000 eur,,,,19.461
2006,1.000 eur,,,,20.957
2007,1.000 eur,,,,22.253
2008,1.000 eur,,,,23.319
2009,1.000 eur,,,,23.133
2010,1.000 eur,,,,24.091
2011,1.000 eur,,,,25.063
2012,1.000 eur,,,,26.579
2013,1.000 eur,,,,27.006
2014,1.000 eur,,,,27.979
2015,1.000 eur,,,,28.714
2016,1.000 eur,,,,28.767
2017,1.000 eur,,,,29.508
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,14.543
2001,1.000 eur,,,,14.799
2002,1.000 eur,,,,14.718
2003,1.000 eur,,,,15.011
2004,1.000 eur,,,,15.31
2005,1.000 eur,,,,15.238
2006,1.000 eur,,,,15.784
2007,1.000 eur,,,,16.731
2008,1.000 eur,,,,16.951
2009,1.000 eur,,,,16.71
2010,1.000 eur,,,,17.369
2011,1.000 eur,,,,17.877
2012,1.000 eur,,,,19.94
2013,1.000 eur,,,,20.59
2014,1.000 eur,,,,22.317
2015,1.000 eur,,,,22.083
2016,1.000 eur,,,,21.635
2017,1.000 eur,,,,22.647
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,15.643
2001,1.000 eur,,,,15.361
2002,1.000 eur,,,,15.615
2003,1.000 eur,,,,15.861
2004,1.000 eur,,,,16.161
2005,1.000 eur,,,,16.114
2006,1.000 eur,,,,16.862
2007,1.000 eur,,,,17.493
2008,1.000 eur,,,,18.653
2009,1.000 eur,,,,18.404
2010,1.000 eur,,,,18.979
2011,1.000 eur,,,,20.086
2012,1.000 eur,,,,21.45
2013,1.000 eur,,,,21.264
2014,1.000 eur,,,,22.295
2015,1.000 eur,,,,23.396
2016,1.000 eur,,,,23.6
2017,1.000 eur,,,,24.544
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,15.656
2001,1.000 eur,,,,15.756
2002,1.000 eur,,,,16.019
2003,1.000 eur,,,,15.945
2004,1.000 eur,,,,16.946
2005,1.000 eur,,,,16.841
2006,1.000 eur,,,,18.22
2007,1.000 eur,,,,18.24
2008,1.000 eur,,,,18.897
2009,1.000 eur,,,,17.669
2010,1.000 eur,,,,18.474
2011,1.000 eur,,,,20.07
2012,1.000 eur,,,,20.441
2013,1.000 eur,,,,21.988
2014,1.000 eur,,,,23.504
2015,1.000 eur,,,,23.217
2016,1.000 eur,,,,24.825
2017,1.000 eur,,,,25.595
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,18.87
2001,1.000 eur,,,,19.152
2002,1.000 eur,,,,18.987
2003,1.000 eur,,,,19.187
2004,1.000 eur,,,,19.59
2005,1.000 eur,,,,19.911
2006,1.000 eur,,,,19.837
2007,1.000 eur,,,,21.033
2008,1.000 eur,,,,21.332
2009,1.000 eur,,,,20.848
2010,1.000 eur,,,,21.908
2011,1.000 eur,,,,23.521
2012,1.000 eur,,,,23.028
2013,1.000 eur,,,,24.255
2014,1.000 eur,,,,25.53
2015,1.000 eur,,,,26.442
2016,1.000 eur,,,,26.785
2017,1.000 eur,,,,27.763
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,14.379
2001,1.000 eur,,,,15.154
2002,1.000 eur,,,,15.063
2003,1.000 eur,,,,15.324
2004,1.000 eur,,,,15.68
2005,1.000 eur,,,,15.196
2006,1.000 eur,,,,15.951
2007,1.000 eur,,,,16.016
2008,1.000 eur,,,,16.331
2009,1.000 eur,,,,16.214
2010,1.000 eur,,,,17.103
2011,1.000 eur,,,,17.681
2012,1.000 eur,,,,17.962
2013,1.000 eur,,,,17.87
2014,1.000 eur,,,,18.844
2015,1.000 eur,,,,18.892
2016,1.000 eur,,,,19.761
2017,1.000 eur,,,,20.364
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.331
2001,1.000 eur,,,,19.502
2002,1.000 eur,,,,18.98
2003,1.000 eur,,,,18.882
2004,1.000 eur,,,,19.821
2005,1.000 eur,,,,20.068
2006,1.000 eur,,,,21.739
2007,1.000 eur,,,,23.871
2008,1.000 eur,,,,24.234
2009,1.000 eur,,,,23.577
2010,1.000 eur,,,,25.201
2011,1.000 eur,,,,26.636
2012,1.000 eur,,,,28.223
2013,1.000 eur,,,,29.878
2014,1.000 eur,,,,31.201
2015,1.000 eur,,,,31.167
2016,1.000 eur,,,,32.095
2017,1.000 eur,,,,33.449
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,21.53
2001,1.000 eur,,,,21.959
2002,1.000 eur,,,,22.593
2003,1.000 eur,,,,24.654
2004,1.000 eur,,,,24.759
2005,1.000 eur,,,,23.879
2006,1.000 eur,,,,25.372
2007,1.000 eur,,,,26.897
2008,1.000 eur,,,,25.994
2009,1.000 eur,,,,26.254
2010,1.000 eur,,,,27.083
2011,1.000 eur,,,,28.222
2012,1.000 eur,,,,28.987
2013,1.000 eur,,,,28.797
2014,1.000 eur,,,,30.214
2015,1.000 eur,,,,30.884
2016,1.000 eur,,,,31.134
2017,1.000 eur,,,,32.496
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,22.316
2001,1.000 eur,,,,23.189
2002,1.000 eur,,,,22.904
2003,1.000 eur,,,,21.646
2004,1.000 eur,,,,22.932
2005,1.000 eur,,,,24.606
2006,1.000 eur,,,,24.267
2007,1.000 eur,,,,24.206
2008,1.000 eur,,,,25.612
2009,1.000 eur,,,,24.756
2010,1.000 eur,,,,25.35
2011,1.000 eur,,,,26.083
2012,1.000 eur,,,,26.485
2013,1.000 eur,,,,27.616
2014,1.000 eur,,,,28.592
2015,1.000 eur,,,,29.901
2016,1.000 eur,,,,30.098
2017,1.000 eur,,,,30.996
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,17.327
2001,1.000 eur,,,,17.379
2002,1.000 eur,,,,17.985
2003,1.000 eur,,,,18.002
2004,1.000 eur,,,,18.496
2005,1.000 eur,,,,17.98
