Year,Value,Units,GeoCode
2019,5144.0,number,
2020,5349.0,number,
2005,,number,
2006,5311.0,number,
2007,4970.0,number,
2008,5028.0,number,
2009,5202.0,number,
2010,5384.0,number,
2011,5611.0,number,
2012,5981.0,number,
2013,6189.0,number,
2014,6366.0,number,
2015,6741.0,number,
2016,7205.0,number,
2017,7685.0,number,
2018,8619.0,number,
2019,9058.0,number,
2020,9345.0,number,
2005,,number,
2006,14955.0,number,
2007,13532.0,number,
2008,15441.0,number,
2009,17026.0,number,
2010,18427.0,number,
2011,18524.0,number,
2012,19593.0,number,
2013,21041.0,number,
2014,22324.0,number,
2015,23542.0,number,
2016,24605.0,number,
2017,25754.0,number,
2018,27467.0,number,
2019,28777.0,number,
2020,29788.0,number,
2005,,number,
2006,1194.0,number,
2007,1207.0,number,
2008,1195.0,number,
2009,1291.0,number,
2010,1390.0,number,
2011,1405.0,number,
2012,1442.0,number,
2013,1618.0,number,
2014,1759.0,number,
2015,1972.0,number,
2016,2303.0,number,
2017,2775.0,number,
2018,3115.0,number,
2019,3247.0,number,
2020,3352.0,number,
2005,,number,
2006,10759.0,number,
2007,10237.0,number,
2008,10357.0,number,
2009,10402.0,number,
2010,10444.0,number,
2011,10452.0,number,
2012,11133.0,number,
2013,12109.0,number,
2014,13195.0,number,
2015,14657.0,number,
2016,15932.0,number,
2017,17702.0,number,
2018,19333.0,number,
2019,20687.0,number,
2020,21354.0,number,
2005,,number,
2006,38324.0,number,
2007,35303.0,number,
2008,36388.0,number,
2009,37820.0,number,
2010,38968.0,number,
2011,41572.0,number,
2012,44860.0,number,
2013,48945.0,number,
2014,53164.0,number,
2015,56422.0,number,
2016,60688.0,number,
2017,63089.0,number,
2018,67424.0,number,
2019,72166.0,number,
2020,75112.0,number,
2005,,number,
2006,6488.0,number,
2007,6993.0,number,
2008,7166.0,number,
2009,6992.0,number,
2010,7023.0,number,
2011,6748.0,number,
2012,6820.0,number,
2013,6951.0,number,
2014,7214.0,number,
2015,7575.0,number,
2016,8177.0,number,
2017,8928.0,number,
2018,10194.0,number,
2019,11069.0,number,
2020,11896.0,number,
2005,,number,
2006,1572.0,number,
2007,1573.0,number,
2008,1597.0,number,
2009,1708.0,number,
2010,1959.0,number,
2011,2085.0,number,
2012,2164.0,number,
2013,2246.0,number,
2014,2331.0,number,
2015,2413.0,number,
2016,2419.0,number,
2017,2481.0,number,
2018,2725.0,number,
2019,2961.0,number,
2020,3114.0,number,
2005,,number,
2006,4963.0,number,
2007,5139.0,number,
2008,5053.0,number,
2009,5332.0,number,
2010,5542.0,number,
2011,5966.0,number,
2012,6748.0,number,
2013,7873.0,number,
2014,9023.0,number,
2015,10278.0,number,
2016,10829.0,number,
2017,11340.0,number,
2018,12575.0,number,
2019,13267.0,number,
2020,13507.0,number,
2005,,number,
2006,3198.0,number,
2007,3247.0,number,
2008,3251.0,number,
2009,3463.0,number,
2010,3712.0,number,
2011,4041.0,number,
2012,4444.0,number,
2013,4705.0,number,
2014,5080.0,number,
2015,5582.0,number,
2016,5650.0,number,
2017,6091.0,number,
2018,6641.0,number,
2019,7321.0,number,
2020,7679.0,number,
2005,,number,
2006,2406.0,number,
2007,2416.0,number,
2008,2436.0,number,
2009,2523.0,number,
2010,2569.0,number,
2011,2633.0,number,
2012,2764.0,number,
2013,2830.0,number,
2014,2998.0,number,
2015,3155.0,number,
2016,3586.0,number,
2017,3667.0,number,
2018,4002.0,number,
2019,4276.0,number,
2020,4402.0,number,
2005,,number,
2006,1937.0,number,
2007,2176.0,number,
2008,2192.0,number,
2009,2543.0,number,
2010,2909.0,number,
2011,3012.0,number,
2012,3412.0,number,
2013,4000.0,number,
2014,4508.0,number,
2015,4948.0,number,
2016,5180.0,number,
2017,5623.0,number,
2018,6397.0,number,
2019,7700.0,number,
2020,8785.0,number,
