Year,Value,Units,GeoCode
2002,1.21,percentage,
2003,1.36,percentage,
2004,1.4,percentage,
2005,1.48,percentage,
2006,1.43,percentage,
2007,1.4,percentage,
2008,1.54,percentage,
2009,1.84,percentage,
2010,1.99,percentage,
2011,2.05,percentage,
2012,2.11,percentage,
2013,1.82,percentage,
2014,1.86,percentage,
2015,1.87,percentage,
2016,1.85,percentage,
2017,1.79,percentage,
2018,1.81,percentage,
2019,1.81,percentage,
2020,1.8,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,2.29,percentage,
2001,2.43,percentage,
2002,2.56,percentage,
2003,2.83,percentage,
2004,2.77,percentage,
2005,2.22,percentage,
2006,2.17,percentage,
2007,2.39,percentage,
2008,2.53,percentage,
2009,2.61,percentage,
2010,2.53,percentage,
2011,2.7,percentage,
2012,2.76,percentage,
2013,2.83,percentage,
2014,2.84,percentage,
2015,3.39,percentage,
2016,3.27,percentage,
2017,3.12,percentage,
2018,3.13,percentage,
2019,3.14,percentage,
2020,3.07,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.78,percentage,
2001,1.71,percentage,
2002,1.76,percentage,
2003,1.75,percentage,
2004,1.72,percentage,
2005,1.75,percentage,
2006,1.78,percentage,
2007,1.73,percentage,
2008,1.82,percentage,
2009,1.97,percentage,
2010,1.99,percentage,
2011,2.0,percentage,
2012,2.09,percentage,
2013,1.98,percentage,
2014,2.03,percentage,
2015,1.99,percentage,
2016,2.03,percentage,
2017,2.13,percentage,
2018,2.19,percentage,
2019,2.16,percentage,
2020,2.19,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,2.22,percentage,
2001,1.94,percentage,
2002,1.92,percentage,
2003,1.75,percentage,
2004,1.71,percentage,
2005,1.68,percentage,
2006,1.77,percentage,
2007,1.81,percentage,
2008,1.91,percentage,
2009,2.03,percentage,
2010,2.05,percentage,
2011,2.03,percentage,
2012,2.05,percentage,
2013,2.16,percentage,
2014,2.16,percentage,
2015,2.39,percentage,
2016,2.47,percentage,
2017,2.5,percentage,
2018,2.56,percentage,
2019,2.62,percentage,
2020,2.56,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,0.97,percentage,
2001,1.04,percentage,
2002,1.02,percentage,
2003,1.06,percentage,
2004,1.05,percentage,
2005,1.03,percentage,
2006,1.0,percentage,
2007,1.04,percentage,
2008,1.12,percentage,
2009,1.26,percentage,
2010,1.3,percentage,
2011,1.48,percentage,
2012,1.47,percentage,
2013,1.46,percentage,
2014,1.42,percentage,
2015,1.57,percentage,
2016,1.56,percentage,
2017,1.76,percentage,
2018,1.75,percentage,
2019,1.91,percentage,
2020,1.94,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,2.42,percentage,
2001,2.41,percentage,
2002,2.4,percentage,
2003,2.25,percentage,
2004,2.2,percentage,
2005,2.38,percentage,
2006,2.32,percentage,
2007,2.6,percentage,
2008,2.8,percentage,
2009,2.74,percentage,
2010,2.79,percentage,
2011,2.8,percentage,
2012,2.8,percentage,
2013,2.76,percentage,
2014,2.64,percentage,
2015,2.73,percentage,
2016,2.74,percentage,
2017,2.81,percentage,
2018,2.89,percentage,
2019,3.0,percentage,
2020,3.02,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.4,percentage,
2001,1.31,percentage,
2002,1.24,percentage,
2003,1.2,percentage,
2004,1.16,percentage,
2005,1.22,percentage,
2006,1.2,percentage,
2007,1.18,percentage,
2008,1.2,percentage,
2009,1.38,percentage,
2010,1.41,percentage,
2011,1.48,percentage,
2012,1.4,percentage,
2013,1.42,percentage,
2014,1.45,percentage,
2015,1.41,percentage,
2016,1.46,percentage,
2017,1.52,percentage,
2018,1.59,percentage,
2019,1.54,percentage,
2020,1.58,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.09,percentage,
2001,1.14,percentage,
2002,1.21,percentage,
2003,1.15,percentage,
2004,1.09,percentage,
2005,1.15,percentage,
2006,1.21,percentage,
2007,1.19,percentage,
2008,1.24,percentage,
2009,1.3,percentage,
2010,1.32,percentage,
2011,1.42,percentage,
2012,1.45,percentage,
2013,1.5,percentage,
2014,1.55,percentage,
2015,1.5,percentage,
2016,1.53,percentage,
2017,1.58,percentage,
2018,1.64,percentage,
2019,1.68,percentage,
2020,1.62,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.73,percentage,
2001,2.07,percentage,
2002,2.16,percentage,
2003,1.92,percentage,
2004,1.92,percentage,
2005,1.9,percentage,
2006,1.91,percentage,
2007,1.89,percentage,
2008,2.05,percentage,
2009,2.19,percentage,
2010,2.18,percentage,
2011,2.14,percentage,
2012,2.2,percentage,
2013,2.17,percentage,
2014,2.13,percentage,
2015,2.05,percentage,
2016,2.07,percentage,
2017,2.23,percentage,
2018,2.29,percentage,
2019,2.35,percentage,
2020,2.45,percentage,
